# x bins
0.004 0.01 0.02 0.03 0.04 0.06 0.1 0.14 0.18 0.4 
# y bins
0.3 0.5 0.7 0.15 0.2 0.1 
# z bins
0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.85 
# data x y z q2 M Mt
0.0244	0.319	0.724	2.287	0.0911	0.114611
0.0244	0.307	0.795	2.102	0.0671	0.0868157
0.0244	0.586	0.223	4.255	1.8279	0.856261
0.0244	0.586	0.274	4.255	1.2319	0.690185
0.0244	0.585	0.324	4.243	0.8629	0.557211
0.0244	0.56	0.374	4.043	0.6142	0.449534
0.0244	0.532	0.424	3.812	0.4528	0.361977
0.0345	0.142	0.574	1.49	0.2195	0.209564
0.0345	0.137	0.624	1.42	0.1946	0.189442
0.0345	0.131	0.674	1.361	0.1608	0.162475
0.0346	0.127	0.724	1.312	0.1231	0.141988
0.0347	0.124	0.795	1.286	0.0914	0.118034
0.0345	0.192	0.424	2.023	0.5321	0.380896
0.0345	0.182	0.474	1.892	0.3928	0.307885
0.0345	0.174	0.524	1.799	0.3165	0.249116
0.0345	0.173	0.574	1.777	0.233	0.203785
