1.52	0.0064661
1.53	0.00643691
1.54	0.00640126
1.55	0.00635917
1.56	0.0063107
1.57	0.00625599
1.58	0.0061952
1.59	0.00612855
1.6	0.00605629
1.61	0.00597869
1.62	0.00589609
1.63	0.0058088
1.64	0.0057172
1.65	0.00562164
1.66	0.0055225
1.67	0.00542018
1.68	0.00531506
1.69	0.00520754
1.7	0.00509802
1.71	0.00498689
1.72	0.00487453
1.73	0.00476134
1.74	0.00464769
1.75	0.00453396
1.76	0.00442052
1.77	0.00430772
1.78	0.00419591
1.79	0.00408542
1.8	0.00397658
1.81	0.00386968
1.82	0.00376501
1.83	0.00366285
1.84	0.00356344
1.85	0.003467
1.86	0.00337374
1.87	0.00328383
1.88	0.00319744
1.89	0.00311467
1.9	0.00303564
1.91	0.00296041
1.92	0.00288904
1.93	0.00282154
1.94	0.00275791
1.95	0.00269811
1.96	0.00264209
1.97	0.00258978
1.98	0.00254107
1.99	0.00249586
2	0.002454
2.01	0.00241535
2.02	0.00237975
2.03	0.00234701
2.04	0.00231697
2.05	0.00228943
2.06	0.00226419
2.07	0.00224106
2.08	0.00221983
2.09	0.00220032
2.1	0.00218232
2.11	0.00216564
2.12	0.00215009
2.13	0.0021355
2.14	0.00212168
2.15	0.00210849
2.16	0.00209577
2.17	0.00208337
2.18	0.00207116
2.19	0.00205902
2.2	0.00204686
2.21	0.00203456
2.22	0.00202205
2.23	0.00200926
2.24	0.00199613
2.25	0.00198261
2.26	0.00196867
2.27	0.00195427
2.28	0.00193941
2.29	0.00192408
2.3	0.00190827
2.31	0.00189201
2.32	0.0018753
2.33	0.00185817
2.34	0.00184065
2.35	0.00182276
2.36	0.00180455
2.37	0.00178606
2.38	0.00176732
2.39	0.00174838
2.4	0.00172928
2.41	0.00171006
2.42	0.00169076
2.43	0.00167142
2.44	0.00165208
2.45	0.00163277
2.46	0.00161354
2.47	0.0015944
2.48	0.00157538
2.49	0.00155651
2.5	0.0015378
2.51	0.00151927
2.52	0.00150093
2.53	0.0014828
2.54	0.00146487
2.55	0.00144714
2.56	0.00142962
2.57	0.0014123
2.58	0.00139517
2.59	0.00137823
2.6	0.00136145
2.61	0.00134483
2.62	0.00132835
2.63	0.00131199
2.64	0.00129573
2.65	0.00127956
2.66	0.00126345
2.67	0.0012474
2.68	0.00123136
2.69	0.00121534
2.7	0.0011993
2.71	0.00118323
2.72	0.00116712
2.73	0.00115095
2.74	0.0011347
2.75	0.00111836
2.76	0.00110192
2.77	0.00108538
2.78	0.00106871
2.79	0.00105192
2.8	0.00103501
2.81	0.00101796
2.82	0.00100078
2.83	0.000983476
2.84	0.000966042
2.85	0.000948484
2.86	0.00093081
2.87	0.000913028
2.88	0.000895145
2.89	0.000877174
2.9	0.000859126
2.91	0.000841013
2.92	0.000822851
2.93	0.000804653
2.94	0.000786436
2.95	0.000768218
2.96	0.000750013
2.97	0.000731842
2.98	0.000713721
2.99	0.00069567
3	0.000677706
3.01	0.000659848
3.02	0.000642115
3.03	0.000624524
3.04	0.000607095
3.05	0.000589845
3.06	0.000572791
3.07	0.00055595
3.08	0.000539337
3.09	0.00052297
3.1	0.000506861
3.11	0.000491026
3.12	0.000475478
3.13	0.000460228
3.14	0.000445289
